MESSAGEID	LATITUDE	LONGITUDE	MESSAGEDATE	EMOTION
276360367880433664	51.1459122	6.2834001	2012-12-05 05:20:20	7
276360367003815936	48.39957713	9.98274947	2012-12-05 05:20:20	1
276360385232244737	48.79272312	9.16846246	2012-12-05 05:20:25	1
276360377699295232	47.60728525	7.6624165	2012-12-05 05:20:23	5
276360400419831809	52.6647674	13.34028291	2012-12-05 05:20:28	1
276360386406658048	52.50157861	13.62198207	2012-12-05 05:20:25	1
276361795562786816	47.80176924	12.17541005	2012-12-05 05:26:01	6
276361785790054400	52.52629022	13.34192184	2012-12-05 05:25:58	1
276361803498397696	49.4782946	10.7229467	2012-12-05 05:26:03	6
276361812449046528	50.76899561	6.07777166	2012-12-05 05:26:05	5
276363314819387392	50.107282	8.664737	2012-12-05 05:32:03	1
276361832334241792	51.2077704	6.4820072	2012-12-05 05:26:10	2
276363354254237696	50.0866999	14.4188868	2012-12-05 05:32:12	1
276363346637385728	54.41921151	13.42520329	2012-12-05 05:32:11	7
276363356888252417	53.42236381	7.95400358	2012-12-05 05:32:13	1
276363356120686592	50.0866999	14.4188868	2012-12-05 05:32:13	1
276363395702349824	47.853391	12.122383	2012-12-05 05:32:22	6
276363382796455937	52.16025473	9.903303	2012-12-05 05:32:19	7
276364665804709888	52.4989628	13.3515667	2012-12-05 05:37:25	1
276364681394929664	51.940226	9.815381	2012-12-05 05:37:29	1
276364677636833280	52.27289441	8.05784432	2012-12-05 05:37:28	1
276364697517830144	48.22074558	11.54174052	2012-12-05 05:37:33	1
276364700596457472	52.52355043	13.35759618	2012-12-05 05:37:33	1
276364711661023234	50.81429184	7.14458219	2012-12-05 05:37:36	7
276364705315033088	53.54020133	10.09906441	2012-12-05 05:37:35	1
276364722100633600	50.07402875	8.2016342	2012-12-05 05:37:39	1
276364738512973824	49.446505	7.5871765	2012-12-05 05:37:42	2
276366254393131009	48.33555	8.94995	2012-12-05 05:43:44	1
276366252140789760	47.98025	7.73425	2012-12-05 05:43:43	2
276366256985214976	48.33555	8.94995	2012-12-05 05:43:44	1
276366259262717952	48.33555	8.94995	2012-12-05 05:43:45	5
276366262085500930	49.74108904	11.83871445	2012-12-05 05:43:46	2
276366261670264832	48.33555	8.94995	2012-12-05 05:43:46	5
276363087454547968	51.84067466	7.27446081	2012-12-05 05:31:09	7
276366266325934082	48.69365	9.00295	2012-12-05 05:43:47	1
276366266384674817	48.77864386	9.17928476	2012-12-05 05:43:47	1
276366268611837952	53.5663662	13.2629948	2012-12-05 05:43:47	1
276366268888674304	48.44965	9.0596	2012-12-05 05:43:47	1
276366271157780480	48.44965	9.0596	2012-12-05 05:43:48	1
276366273464631296	48.72625	9.06805	2012-12-05 05:43:48	1
276366275209465856	50.90516667	13.05466667	2012-12-05 05:43:49	1
276366275633098753	48.72625	9.06805	2012-12-05 05:43:49	1
276366277877051393	47.81395	7.55285	2012-12-05 05:43:49	1
276366280779513856	47.81395	7.55285	2012-12-05 05:43:50	1
276366283069591552	48.82905	8.86925	2012-12-05 05:43:51	1
276366285246435328	48.82905	8.86925	2012-12-05 05:43:51	1
276366287431692289	49.2758	8.6939	2012-12-05 05:43:52	4
276366289671442432	49.2758	8.6939	2012-12-05 05:43:52	4
276366291978305538	49.18585	9.2019	2012-12-05 05:43:53	1
276367518099193859	47.98025	7.73425	2012-12-05 05:48:45	2
276360434888605696	49.98649294	8.36259663	2012-12-05 05:20:36	1
276360452387258368	50.1408617	8.9381124	2012-12-05 05:20:41	1
276361887988453376	50.9198181	6.85331704	2012-12-05 05:26:23	1
276361933299527680	48.13601678	11.58899449	2012-12-05 05:26:34	1
276361924223057921	48.12606233	11.64534992	2012-12-05 05:26:31	1
276361939045736448	49.71904373	11.90680321	2012-12-05 05:26:35	2
276363421866409984	52.53670803	13.37969256	2012-12-05 05:32:29	1
276363452371566592	47.7786618	9.5881507	2012-12-05 05:32:36	7
276363435443359744	50.83887412	12.92776207	2012-12-05 05:32:32	1
276363459711619073	50.65959	12.156022	2012-12-05 05:32:38	1
276363453889925120	51.25326406	7.15498553	2012-12-05 05:32:36	2
276364748411527168	49.28347068	7.10341806	2012-12-05 05:37:45	2
276363497993035776	51.932578	8.0475851	2012-12-05 05:32:47	3
276364778107195392	53.5399867	10.2308962	2012-12-05 05:37:52	7
276364798709608450	47.69638824	11.77626953	2012-12-05 05:37:57	5
276364793651286016	50.05618051	14.44557248	2012-12-05 05:37:56	5
276364798340521984	49.41449452	8.68834192	2012-12-05 05:37:57	1
276364820750684161	48.2258973	11.6742738	2012-12-05 05:38:02	1
276364813813293057	50.93753723	6.95381897	2012-12-05 05:38:00	7
276364823363727360	51.348284	9.8721489	2012-12-05 05:38:03	1
